focus_id,focus_name,reading_order,series,issue_number,display_name,run_status,collection_status,format,metadata_arc,story_title,part_label,metadata_status,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_tab,source_row,comic,notes
knightfall_to_knightsend,Knightfall to Knightsend,Knight089,Batman: Shadow of the Bat,26,Batman: Shadow of the Bat #26,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,109,Batman: Shadow of the Bat #26,
knightfall_to_knightsend,Knightfall to Knightsend,Knight090,Batman: Shadow of the Bat,27,Batman: Shadow of the Bat #27,owned,Yes,Facsimile/Reprint?,,,,,0,0,0,0,Review,Batman,110,Batman: Shadow of the Bat #27,
knightfall_to_knightsend,Knightfall to Knightsend,Knight091,Detective Comics,674,Detective Comics #674,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,111,Detective Comics #674,
knightfall_to_knightsend,Knightfall to Knightsend,Knight092,Batman,508,Batman #508,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,112,Batman #508,
knightfall_to_knightsend,Knightfall to Knightsend,Knight093,Batman: Shadow of the Bat,28,Batman: Shadow of the Bat #28,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,113,Batman: Shadow of the Bat #28,
knightfall_to_knightsend,Knightfall to Knightsend,Knight094,Detective Comics,675,Detective Comics #675,owned,Yes,Original/Reprint Unknown,Knightquest,,,Review,0,0,0,0,Review,Batman,114,Detective Comics #675,
knightfall_to_knightsend,Knightfall to Knightsend,Knight095,Robin (Vol. 2),7,Robin (Vol. 2) #7,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,115,Robin (Vol. 2) #007,
knightfall_to_knightsend,Knightfall to Knightsend,Knight096,Batman,509,Batman #509,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,116,Batman #509,
knightfall_to_knightsend,Knightfall to Knightsend,Knight097,Batman: Shadow of the Bat,29,Batman: Shadow of the Bat #29,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,117,Batman: Shadow of the Bat #29,
knightfall_to_knightsend,Knightfall to Knightsend,Knight098,Detective Comics,676,Detective Comics #676,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,118,Detective Comics #676,
knightfall_to_knightsend,Knightfall to Knightsend,Knight099,Batman: Legends of the Dark Knight,62,Batman: Legends of the Dark Knight #62,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,119,Batman: Legends of the Dark Knight #62,
knightfall_to_knightsend,Knightfall to Knightsend,Knight100,Robin (Vol. 2),8,Robin (Vol. 2) #8,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,120,Robin (Vol. 2) #008,
knightfall_to_knightsend,Knightfall to Knightsend,Knight101,Catwoman (Vol.2),12,Catwoman (Vol.2) #12,owned,Yes,Original/Reprint Unknown,Batman: KnightsEnd,Fire in the Sky,Part 6,Review,0,0,0,0,Review,Batman,121,Catwoman (Vol.2) #12,
knightfall_to_knightsend,Knightfall to Knightsend,Knight102,Batman,510,Batman #510,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,122,Batman #510,
knightfall_to_knightsend,Knightfall to Knightsend,Knight103,Batman: Shadow of the Bat,30,Batman: Shadow of the Bat #30,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,123,Batman: Shadow of the Bat #30,
knightfall_to_knightsend,Knightfall to Knightsend,Knight104,Detective Comics,677,Detective Comics #677,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,124,Detective Comics #677,
knightfall_to_knightsend,Knightfall to Knightsend,Knight105,Batman: Legends of the Dark Knight,63,Batman: Legends of the Dark Knight #63,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,125,Batman: Legends of the Dark Knight #63,
knightfall_to_knightsend,Knightfall to Knightsend,Knight106,Robin (Vol. 2),9,Robin (Vol. 2) #9,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,126,Robin (Vol. 2) #009,
knightfall_to_knightsend,Knightfall to Knightsend,Knight107,Catwoman (Vol.2),13,Catwoman (Vol.2) #13,owned,Yes,Original/Reprint Unknown,KnightsEnd,Catfish,Aftermath,Review,0,0,0,0,Review,Batman,127,Catwoman (Vol.2) #13,
knightfall_to_knightsend,Knightfall to Knightsend,Knight108,Showcase ’94,10,Showcase ’94 #10,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,128,Showcase ’94 #10,
knightfall_to_knightsend,Knightfall to Knightsend,Knight109,Robin (Vol. 2),0,Robin (Vol. 2) #0,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,129,Robin (Vol. 2) #000,
knightfall_to_knightsend,Knightfall to Knightsend,Knight110,Batman,512,Batman #512,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,130,Batman #512,
knightfall_to_knightsend,Knightfall to Knightsend,Knight111,Batman: Shadow of the Bat,32,Batman: Shadow of the Bat #32,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,131,Batman: Shadow of the Bat #32,
knightfall_to_knightsend,Knightfall to Knightsend,Knight112,Detective Comics,679,Detective Comics #679,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,132,Detective Comics #679,
knightfall_to_knightsend,Knightfall to Knightsend,Knight113,Robin (Vol. 2),11,Robin (Vol. 2) #11,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,133,Robin (Vol. 2) #011,
knightfall_to_knightsend,Knightfall to Knightsend,Knight114,Batman,513,Batman #513,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,134,Batman #513,
knightfall_to_knightsend,Knightfall to Knightsend,Knight115,Batman: Shadow of the Bat,33,Batman: Shadow of the Bat #33,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,135,Batman: Shadow of the Bat #33,
knightfall_to_knightsend,Knightfall to Knightsend,Knight116,Detective Comics,680,Detective Comics #680,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,136,Detective Comics #680,
knightfall_to_knightsend,Knightfall to Knightsend,Knight117,Robin (Vol. 2),12,Robin (Vol. 2) #12,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,137,Robin (Vol. 2) #012,
knightfall_to_knightsend,Knightfall to Knightsend,Knight118,Batman,514,Batman #514,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,138,Batman #514,
knightfall_to_knightsend,Knightfall to Knightsend,Knight119,Batman: Shadow of the Bat,34,Batman: Shadow of the Bat #34,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,139,Batman: Shadow of the Bat #34,
knightfall_to_knightsend,Knightfall to Knightsend,Knight120,Detective Comics,681,Detective Comics #681,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,140,Detective Comics #681,
knightfall_to_knightsend,Knightfall to Knightsend,Knight121,Robin (Vol. 2),13,Robin (Vol. 2) #13,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,141,Robin (Vol. 2) #013,
knightfall_to_knightsend,Knightfall to Knightsend,Knight122,Batman,515,Batman #515,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,142,Batman #515,
knightfall_to_knightsend,Knightfall to Knightsend,Knight123,Batman: Shadow of the Bat,35,Batman: Shadow of the Bat #35,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,143,Batman: Shadow of the Bat #35,
knightfall_to_knightsend,Knightfall to Knightsend,Knight124,Detective Comics,682,Detective Comics #682,owned,Yes,Original/Reprint Unknown,Knightsend,,,Review,0,0,0,0,Review,Batman,144,Detective Comics #682,
knightfall_to_knightsend,Knightfall to Knightsend,Knight125,Robin (Vol. 2),14,Robin (Vol. 2) #14,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,145,Robin (Vol. 2) #014,
knightfall_to_knightsend,Knightfall to Knightsend,Knight126,Azrael,1,Azrael #1,owned,Yes,Facsimile/Reprint?,,,,,0,0,0,0,Review,Batman,146,Azrael #01,
knightfall_to_knightsend,Knightfall to Knightsend,Knight127,Azrael,2,Azrael #2,owned,Yes,Original/Reprint Unknown,,,,,0,0,0,0,Review,Batman,147,Azrael #02,
