title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes,missing_reason
Detective Comics,detective_568_741,632,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,639,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,641,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,647,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,648,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,691,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,692,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,695,absent_from_sheet,,,,Batman: Contagion,The Gray Area,core,core,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
Detective Comics,detective_568_741,697,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,698,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,699,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,700,not_owned,No,Original/Reprint Unknown,Legacy,Batman: Legacy,,Part 1,core,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy10,Batman,159,Detective Comics #700,,not_owned
Detective Comics,detective_568_741,701,not_owned,No,Original/Reprint Unknown,Legacy,Batman: Legacy,,Part 6,core,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy15,Batman,164,Detective Comics #701,,not_owned
Detective Comics,detective_568_741,702,not_owned,No,Original/Reprint Unknown,Legacy,Batman: Legacy,,Epilogue,epilogue,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,confirmed,issue_metadata.csv,Legacy17,Batman,166,Detective Comics #702,,not_owned
Detective Comics,detective_568_741,703,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,704,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,705,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,706,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,707,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,708,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,709,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,710,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,711,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,712,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,713,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,714,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,715,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,716,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,717,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,718,absent_from_sheet,,,,,,,,,,,,,,,,,absent_from_sheet
Detective Comics,detective_568_741,719,absent_from_sheet,,,,Batman: Cataclysm,,core,core,,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,confirmed,issue_metadata.csv,,,,,,absent_from_sheet
