title,run_id,issue_number,run_status,collection_status,format,story,metadata_arc,story_title,part_label,metadata_role,metadata_notes,metadata_source_url,metadata_status,metadata_source,reading_order,source_tab,source_row,comic,notes
Batman,batman_404_574,491,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight035,Batman,55,Batman #491,
Batman,batman_404_574,492,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight036,Batman,56,Batman #492,
Batman,batman_404_574,493,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight038,Batman,58,Batman #493,
Batman,batman_404_574,494,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight040,Batman,60,Batman #494,
Batman,batman_404_574,495,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight042,Batman,62,Batman #495,
Batman,batman_404_574,496,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight044,Batman,64,Batman #496,
Batman,batman_404_574,497,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight046,Batman,66,Batman #497,
Batman,batman_404_574,498,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight051,Batman,71,Batman #498,
Batman,batman_404_574,499,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight056,Batman,76,Batman #499,
Batman,batman_404_574,500,owned,Yes,Original/Reprint Unknown,Knightfall,Knightfall,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight058,Batman,78,Batman #500,
Batman,batman_404_574,501,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight067,Batman,87,Batman #501,
Batman,batman_404_574,502,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight068,Batman,88,Batman #502,
Batman,batman_404_574,503,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight075,Batman,95,Batman #503,
Batman,batman_404_574,504,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight076,Batman,96,Batman #504,
Batman,batman_404_574,505,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight082,Batman,102,Batman #505,
Batman,batman_404_574,506,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight084,Batman,104,Batman #506,
Batman,batman_404_574,507,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight085,Batman,105,Batman #507,
Batman,batman_404_574,508,owned,Yes,Original/Reprint Unknown,Knightquest,Knightquest,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight092,Batman,112,Batman #508,
Batman,batman_404_574,509,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight096,Batman,116,Batman #509,
Batman,batman_404_574,510,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight102,Batman,122,Batman #510,
Batman,batman_404_574,511,owned,Yes,Original/Reprint Unknown,Zero Hour,Zero Hour,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,ZZ,Batman,281,Batman #511,
Batman,batman_404_574,512,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight110,Batman,130,Batman #512,
Batman,batman_404_574,513,owned,Yes,Original/Reprint Unknown,Knightsend,Knightsend,,,review,Suggested from existing collection story label; verify before promoting.,,Review,story_metadata_decisions.csv,Knight114,Batman,134,Batman #513,
