title,run_id,issue_number,run_status,collection_status,story,comic
Warhammer Monthly,warhammer_monthly_0_86,73,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,74,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,75,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,76,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,77,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,78,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,79,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,80,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,81,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,82,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,83,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,84,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,85,absent_from_sheet,,,
Warhammer Monthly,warhammer_monthly_0_86,86,absent_from_sheet,,,
